Order ID,start_x,start_y,end_x,end_y,ori_order,ori_distance,opt_order,opt_distance,mst_Lower_bound
47,0,0,0,18,"['231434', '286783', '274852', '49524', '170758', '76182', '264804', '1456044', '108775', '380552', '227318', '408295', '408451', '308223', '59538', '348200', '1101294', '1101291', '1101290', '1101292', '385901', '207762', '311912', '19704', '357643', '375582', '475110', '660042', '54430', '395701', '236272']",180,"['348200', '59538', '1101294', '1101291', '1101290', '1101292', '357643', '375582', '475110', '19704', '311912', '54430', '227318', '408295', '380552', '236272', '395701', '207762', '385901', '231434', '286783', '274852', '49524', '170758', '1456044', '108775', '408451', '76182', '264804', '660042', '308223']",72,22
48,0,0,0,18,"['2625154', '1019019', '100382', '154720', '299576', '817287', '336712', '1734057', '82591', '259577', '1075851', '365562', '259577', '343071', '1080194', '191091', '291100', '2137707', '289491', '51164', '2626882', '751202']",208,"['191091', '1080194', '343071', '100382', '817287', '751202', '2626882', '51164', '259577', '291100', '299576', '2137707', '259577', '289491', '365562', '1019019', '82591', '1734057', '336712', '2625154', '1075851', '154720']",76,50
49,0,0,0,18,"['356984', '376926', '360031']",40,"['356984', '376926', '360031']",48,48
50,0,0,0,18,"['254322', '179564', '254322', '165051']",40,"['254322', '179564', '254322', '165051']",36,36
51,0,0,0,18,"['206570', '265089', '354517', '136990', '322374']",56,"['265089', '354517', '136990', '322374', '206570']",52,28
52,0,0,0,18,"['208299', '147629', '311368', '48409', '255229']",60,"['311368', '255229', '208299', '147629', '48409']",44,28
53,0,0,0,18,"['95075', '328242', '349267', '225316', '303243']",52,"['328242', '303243', '349267', '225316', '95075']",44,32
54,0,0,0,18,"['396806', '396805', '363644', '2150800']",60,"['396806', '396805', '363644', '2150800']",48,28
55,0,0,0,18,"['82695', '49925', '387491', '365587']",64,"['365587', '387491', '82695', '49925']",48,50
56,0,0,0,18,"['356984', '376926', '360031']",40,"['356984', '376926', '360031']",48,48
57,0,0,0,18,"['205154', '221912', '379532', '196285']",48,"['205154', '221912', '379532', '196285']",52,52
58,0,0,0,18,"['259556', '172768', '379019']",48,"['379019', '259556', '172768']",48,38
59,0,0,0,18,"['29598', '1321', '294908', '383371', '239574', '239436', '245818', '195946', '342032']",84,"['245818', '195946', '29598', '383371', '239436', '294908', '1321', '342032', '239574']",60,38
60,0,0,0,18,"['1423411', '1423408', '356430', '392723', '488554', '488542']",56,"['1423411', '1423408', '392723', '488554', '488542', '356430']",56,40
61,0,0,0,18,"['7177', '306809', '245715', '42210', '1138']",40,"['7177', '306809', '245715', '42210', '1138']",40,36
62,0,0,0,18,"['1102104', '149408', '72860', '195946', '373288', '780493', '391857']",80,"['391857', '373288', '195946', '72860', '149408', '1102104', '780493']",56,40
63,0,0,0,18,"['1058452', '362469', '17057', '393663', '399874', '2184187']",56,"['17057', '393663', '1058452', '362469', '399874', '2184187']",48,32
64,0,0,0,18,"['52017', '372539', '305367', '110313', '156385']",40,"['52017', '372539', '305367', '110313', '156385']",44,44
65,0,0,0,18,['70172'],44,['70172'],32,32
66,0,0,0,18,"['208299', '147629', '311368', '48409', '255229']",60,"['311368', '255229', '208299', '147629', '48409']",44,28
67,0,0,0,18,"['1145766', '17057', '1145765', '2586530', '395664']",76,"['395664', '1145766', '17057', '1145765', '2586530']",64,32
68,0,0,0,18,"['1406725', '4847', '476883', '350155', '391890', '741988']",76,"['391890', '741988', '4847', '350155', '476883', '1406725']",72,42
69,0,0,0,18,"['337003', '394165', '309096', '383371', '176484', '1190168', '71795', '41100', '204756', '96509', '1588730', '239436', '151579', '285408', '34182', '306176', '180023', '32895', '191515', '327710', '156753']",132,"['32895', '151579', '285408', '306176', '180023', '383371', '1588730', '34182', '191515', '327710', '309096', '71795', '176484', '1190168', '337003', '394165', '156753', '41100', '204756', '96509', '239436']",72,28
70,0,0,0,18,"['42416', '365028', '387238', '366339']",44,"['365028', '387238', '366339', '42416']",44,40
71,0,0,0,18,"['96509', '204756', '41100', '2150795', '709705', '323532']",76,"['323532', '709705', '2150795', '96509', '41100', '204756']",60,28
72,0,0,0,18,"['49473', '31378', '128827', '148141']",60,"['148141', '31378', '128827', '49473']",56,34
73,0,0,0,18,"['2625639', '2625640', '2625638', '1621140', '1628548', '1622189', '1622221', '2136618', '2253383', '2624695', '1623758', '1628622', '1622191', '1628109', '2253361', '2253119']",40,"['2625639', '2625640', '2625638', '1621140', '1628548', '1622189', '1622221', '2136618', '2253383', '2624695', '1623758', '1628622', '1622191', '1628109', '2253361', '2253119']",44,44
74,0,0,0,18,"['322161', '70619', '71141', '191076']",36,"['322161', '70619', '71141', '191076']",36,36
75,0,0,0,18,"['155925', '81066', '1192657', '391857']",56,"['391857', '1192657', '155925', '81066']",56,36
76,0,0,0,18,"['87798', '475044', '84012', '736830', '1190986', '176484', '780493', '661741', '89769']",112,"['87798', '661741', '176484', '84012', '736830', '475044', '1190986', '89769', '780493']",72,34
77,0,0,0,18,"['2150795', '59313', '48365', '355027', '336788']",92,"['59313', '48365', '355027', '336788', '2150795']",60,40
78,0,0,0,18,"['391888', '193832', '206395', '392019']",36,"['391888', '193832', '206395', '392019']",28,28
79,0,0,0,18,"['193618', '154454', '17653', '100598']",52,"['154454', '100598', '17653', '193618']",40,28
80,0,0,0,18,"['294886', '257518', '164588', '311561']",40,"['164588', '311561', '294886', '257518']",40,28
81,0,0,0,18,"['249966', '70012', '396795', '363644']",48,"['249966', '70012', '396795', '363644']",36,28
