Order ID,start_x,start_y,end_x,end_y,ori_order,ori_distance,nn_order,nn_distance,nn_effort,mst_Lower_bound,bab_order,bab_distance,bab_effort
1470,0,0,0,0,"['660928', '660927', '230004', '204257']",44,"['204257', '660928', '660927', '230004']",38,133.0,40,"['660928', '660927', '230004', '204257']",46,128.0
1471,0,0,0,0,"['2150799', '363644', '660927', '660928', '262522', '157585', '208660', '1400584']",126,"['1400584', '208660', '157585', '2150799', '363644', '660927', '660928', '262522']",70,300.0,50,"['208660', '2150799', '363644', '660927', '660928', '262522', '157585', '1400584']",106,312.0
1472,0,0,0,0,"['480395', '2210619']",56,"['2210619', '480395']",52,22.0,56,"['2210619', '480395']",54,22.0
1473,0,0,0,0,"['154576', '312815', '276157', '61943', '8140']",52,"['154576', '276157', '312815', '61943', '8140']",46,168.6,46,"['312815', '276157', '61943', '8140', '154576']",54,93.4
1474,0,0,0,0,"['309096', '176484', '27626', '476883', '366109', '281610', '76283', '234904', '205427', '272463', '272258', '8414', '175555', '193832', '206395', '103313']",100,"['176484', '309096', '476883', '366109', '281610', '76283', '234904', '205427', '272463', '272258', '27626', '8414', '175555', '193832', '206395', '103313']",78,641.2,76,"['176484', '309096', '476883', '366109', '281610', '76283', '272463', '205427', '234904', '175555', '272258', '206395', '27626', '103313', '8414', '193832']",84,650.4
1475,0,0,0,0,"['1017757', '397231', '8659', '74919', '326353', '397568', '194273']",84,"['397568', '8659', '326353', '194273', '74919', '1017757', '397231']",70,137.2,76,"['397231', '1017757', '326353', '8659', '74919', '194273', '397568']",74,153.6
1476,0,0,0,0,"['10780', '43261', '396806', '396805']",72,"['396805', '396806', '10780', '43261']",68,70.0,58,"['396805', '10780', '43261', '396806']",74,70.0
1477,0,0,0,0,"['10780', '43261', '396806', '396805']",72,"['396805', '396806', '10780', '43261']",68,70.0,58,"['396805', '10780', '43261', '396806']",74,70.0
1478,0,0,0,0,"['1017757', '397231', '8659', '74919', '326353', '397568', '194273']",84,"['397568', '8659', '326353', '194273', '74919', '1017757', '397231']",70,137.2,76,"['397231', '1017757', '326353', '8659', '74919', '194273', '397568']",74,153.6
1479,0,0,0,0,"['108335', '375574', '169653', '265089', '354517', '204756']",72,"['204756', '375574', '169653', '265089', '354517', '108335']",68,115.2,46,"['108335', '169653', '265089', '354517', '204756', '375574']",74,66.8
